id,code,name
l10n_ar_ux.afip_activity_101013,101013,SALADERO Y PELADERO DE CUEROS DE GANADO BOVINO
l10n_ar_ux.afip_activity_101020,101020,PRODUCCIÓN Y PROCESAMIENTO DE CARNE DE AVES
l10n_ar_ux.afip_activity_101030,101030,ELABORACIÓN DE FIAMBRES Y EMBUTIDOS
l10n_ar_ux.afip_activity_101040,101040,MATANZA DE GANADO EXCEPTO EL BOVINO Y PROCESAMIENTO DE SU CARNE
l10n_ar_ux.afip_activity_101091,101091,FABRICACIÓN DE ACEITES Y GRASAS DE ORIGEN ANIMAL
l10n_ar_ux.afip_activity_101099,101099,MATANZA DE ANIMALES N.C.P. Y PROCESAMIENTO DE SU CARNE, ELABORACIÓN DE SUBPRODUCTOS CÁRNICOS N.C.P.
l10n_ar_ux.afip_activity_102000,102000,EXTRACCION Y AGLOMERACION DE LIGNITO
l10n_ar_ux.afip_activity_102001,102001,ELABORACIÓN DE PESCADOS DE MAR, CRUSTÁCEOS Y  PRODUCTOS MARINOS
l10n_ar_ux.afip_activity_102002,102002,ELABORACIÓN DE PESCADOS DE RÍOS Y LAGUNAS Y OTROS PRODUCTOS FLUVIALES Y LACUSTRES
l10n_ar_ux.afip_activity_102003,102003,FABRICACIÓN DE ACEITES, GRASAS, HARINAS Y PRODUCTOS A BASE DE PESCADOS
l10n_ar_ux.afip_activity_103000,103000,EXTRACCION Y AGLOMERACION DE TURBA
l10n_ar_ux.afip_activity_103011,103011,PREPARACIÓN DE CONSERVAS DE FRUTAS, HORTALIZAS Y LEGUMBRES
l10n_ar_ux.afip_activity_103012,103012,ELABORACIÓN Y ENVASADO DE DULCES, MERMELADAS Y JALEAS
l10n_ar_ux.afip_activity_103020,103020,ELABORACIÓN DE JUGOS NATURALES Y SUS CONCENTRADOS, DE FRUTAS, HORTALIZAS Y LEGUMBRES
l10n_ar_ux.afip_activity_103030,103030,ELABORACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES CONGELADAS
l10n_ar_ux.afip_activity_103091,103091,ELABORACIÓN DE HORTALIZAS Y LEGUMBRES DESHIDRATADAS O DESECADAS, PREPARACIÓN N.C.P. DE HORTALIZAS Y LEGUMBRES
l10n_ar_ux.afip_activity_103099,103099,ELABORACIÓN DE FRUTAS DESHIDRATADAS O DESECADAS, PREPARACIÓN N.C.P. DE FRUTAS
l10n_ar_ux.afip_activity_104011,104011,ELABORACIÓN DE ACEITES Y GRASAS VEGETALES  SIN REFINAR
l10n_ar_ux.afip_activity_104012,104012,ELABORACIÓN DE ACEITE DE OLIVA
l10n_ar_ux.afip_activity_104013,104013,ELABORACIÓN DE ACEITES Y GRASAS VEGETALES REFINADOS
l10n_ar_ux.afip_activity_104020,104020,ELABORACIÓN DE MARGARINAS Y GRASAS VEGETALES COMESTIBLES SIMILARES
l10n_ar_ux.afip_activity_105010,105010,ELABORACIÓN DE LECHES Y PRODUCTOS LÁCTEOS DESHIDRATADOS
l10n_ar_ux.afip_activity_105020,105020,ELABORACIÓN DE QUESOS
l10n_ar_ux.afip_activity_105030,105030,ELABORACIÓN INDUSTRIAL DE HELADOS
l10n_ar_ux.afip_activity_105090,105090,ELABORACIÓN DE PRODUCTOS LÁCTEOS N.C.P.
l10n_ar_ux.afip_activity_106110,106110,MOLIENDA DE TRIGO
l10n_ar_ux.afip_activity_106120,106120,PREPARACIÓN DE ARROZ
l10n_ar_ux.afip_activity_106131,106131,ELABORACIÓN DE ALIMENTOS A BASE DE CEREALES
l10n_ar_ux.afip_activity_106139,106139,PREPARACIÓN Y MOLIENDA DE LEGUMBRES Y CEREALES N.C.P., EXCEPTO TRIGO Y ARROZ Y MOLIENDA HÚMEDA DE MAÍZ
l10n_ar_ux.afip_activity_106200,106200,ELABORACIÓN DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN, MOLIENDA HÚMEDA DE MAÍZ
l10n_ar_ux.afip_activity_107110,107110,ELABORACIÓN DE GALLETITAS Y BIZCOCHOS
l10n_ar_ux.afip_activity_107121,107121,ELABORACIÓN INDUSTRIAL DE PRODUCTOS DE PANADERÍA, EXCEPTO GALLETITAS Y BIZCOCHOS
l10n_ar_ux.afip_activity_107129,107129,ELABORACIÓN DE PRODUCTOS DE PANADERÍA N.C.P.
l10n_ar_ux.afip_activity_107200,107200,ELABORACIÓN DE AZÚCAR
l10n_ar_ux.afip_activity_107301,107301,ELABORACIÓN DE CACAO Y CHOCOLATE
l10n_ar_ux.afip_activity_107309,107309,ELABORACIÓN DE PRODUCTOS DE CONFITERÍA N.C.P.
l10n_ar_ux.afip_activity_107410,107410,ELABORACIÓN DE PASTAS ALIMENTARIAS FRESCAS
l10n_ar_ux.afip_activity_107420,107420,ELABORACIÓN DE PASTAS ALIMENTARIAS SECAS
l10n_ar_ux.afip_activity_107500,107500,ELABORACIÓN DE COMIDAS PREPARADAS PARA REVENTA
l10n_ar_ux.afip_activity_107911,107911,TOSTADO, TORRADO Y MOLIENDA DE CAFÉ
l10n_ar_ux.afip_activity_107912,107912,ELABORACIÓN Y MOLIENDA DE HIERBAS AROMÁTICAS Y  ESPECIAS
